kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
251,14,20,20,6539,20,64590000,f9eeea28-4c13-48df-b96a-49c726bf546c,158,One.TT,uplay,10602,f9eeea28-4c13-48df-b96a-49c726bf546c,1,0
166,20,0,20,6486,20,54950000,acb9b554-30d2-4519-b64c-9d6d6d511675,340,Pi3troll,uplay,9940,acb9b554-30d2-4519-b64c-9d6d6d511675,2,0
187,20,20,20,6419,20,44910000,92524ff7-98f6-466c-a6ea-83c3334e56e8,269,Raclis,uplay,10253,92524ff7-98f6-466c-a6ea-83c3334e56e8,3,0
157,0,0,20,6036,20,47570000,7a9e6cd8-ef93-409a-a01c-ddd0774b007b,326,geeometrics.EG,uplay,9695,7a9e6cd8-ef93-409a-a01c-ddd0774b007b,4,0
262,0,0,20,6025,20,60080000,711e055a-723e-4e5b-9ffc-d978d50a21e2,283,hyi.,uplay,10899,711e055a-723e-4e5b-9ffc-d978d50a21e2,5,0
159,20,0,20,6013,20,43540000,30c7bfcc-87fb-48d0-8f18-80b8fb8f80f3,216,Raclis.,uplay,9831,30c7bfcc-87fb-48d0-8f18-80b8fb8f80f3,6,0
160,0,16,20,5921,20,39190000,bfa594b5-ed6e-43aa-8fbe-8e03e4ebb4c8,338,Bosco.SSG,uplay,9777,bfa594b5-ed6e-43aa-8fbe-8e03e4ebb4c8,7,1
161,0,0,20,5871,20,43220000,0af9451e-66ec-45ba-8a96-a3e89d2118aa,149,Dozer.-,uplay,10006,0af9451e-66ec-45ba-8a96-a3e89d2118aa,8,0
144,0,0,20,5841,20,46120000,36e684d7-5a57-42df-9b00-1c60e7c91f28,366,Achieved.ExG,uplay,9708,36e684d7-5a57-42df-9b00-1c60e7c91f28,9,0
119,19,0,20,5749,20,42830000,266e05ca-ef14-4ee9-842f-1a54956a391c,287,Yamada.Tarou.,uplay,9407,266e05ca-ef14-4ee9-842f-1a54956a391c,10,0
174,0,19,20,5737,20,59300000,eb56b657-f8e3-4312-9cc8-2755e83362e5,132,Scorpi0n...,uplay,10000,eb56b657-f8e3-4312-9cc8-2755e83362e5,11,0
181,0,0,20,5732,20,45350000,34affbaa-156f-4e5a-8cde-34a33a4f02ae,170,SoulZagueiro,uplay,9994,34affbaa-156f-4e5a-8cde-34a33a4f02ae,12,0
106,0,3,20,5718,20,39490000,282087f5-ab89-4739-934b-84aabb9df02b,290,harley.TBS,uplay,10442,282087f5-ab89-4739-934b-84aabb9df02b,13,0
154,0,0,20,5716,20,51030000,5d5d93a9-95e5-455a-bf96-34df816ed79b,357,Paluh.Liquid,uplay,10041,5d5d93a9-95e5-455a-bf96-34df816ed79b,14,0
242,0,0,20,5676,20,49590000,003b136c-c00e-4ef8-9690-2376ffcd2e6d,198,llIIIIIIIIIlII,uplay,10124,003b136c-c00e-4ef8-9690-2376ffcd2e6d,15,0
141,0,20,20,5640,20,40920000,5d3d5dec-347e-4ae0-9b58-b86947fe7da8,299,Toast,uplay,9671,5d3d5dec-347e-4ae0-9b58-b86947fe7da8,16,0
240,0,0,20,5575,20,34580000,063cd809-7d45-4e2c-a424-45c1904bbc3f,158,Mordhau.-,uplay,10635,063cd809-7d45-4e2c-a424-45c1904bbc3f,17,0
133,0,0,20,5572,20,46750000,7281d621-d79e-4243-977c-6f5576bd1990,341,Frosty.HwC,uplay,9517,7281d621-d79e-4243-977c-6f5576bd1990,18,0
119,0,18,20,5550,20,48330000,ec3238dc-ea56-4ee8-b4e6-b71e141cb628,304,OutCast.Obk,uplay,9793,ec3238dc-ea56-4ee8-b4e6-b71e141cb628,19,0
143,0,0,20,5524,20,57500000,d65b58f1-74de-40a3-84a0-670a8365aab6,347,Hotancold.DZ,uplay,9839,d65b58f1-74de-40a3-84a0-670a8365aab6,20,0
133,0,0,20,5510,20,41290000,54a6b6b2-d69c-42ea-b495-d1a1995e3002,244,Lean,uplay,9640,54a6b6b2-d69c-42ea-b495-d1a1995e3002,21,0
126,0,0,20,5510,20,44880000,786e187f-ed8f-4c05-b3f6-12be94dc664b,280,dm.relentless,uplay,9502,786e187f-ed8f-4c05-b3f6-12be94dc664b,22,0
152,0,0,20,5502,20,52180000,0a966c73-d531-4124-99b0-9a6c53f4832f,330,Hyper.Rise,uplay,9814,0a966c73-d531-4124-99b0-9a6c53f4832f,23,0
132,0,0,20,5487,20,47750000,6281195c-d210-424e-9d8c-880cbea36c7e,321,KDS..,uplay,9482,6281195c-d210-424e-9d8c-880cbea36c7e,24,0
161,0,0,20,5487,20,59600000,76e66a0a-8c4a-4170-bfdb-7f8d26348540,121,Tw2TaP-.,uplay,10096,76e66a0a-8c4a-4170-bfdb-7f8d26348540,25,0
152,0,0,20,5473,20,39150000,3c81e65e-d871-4314-a280-4caa7df96595,265,Fultz.oC,uplay,9652,3c81e65e-d871-4314-a280-4caa7df96595,26,0
139,0,0,20,5468,20,48950000,03adbae7-33f1-47d7-9128-ef8a4b036e4c,192,CobrA.--,uplay,9532,03adbae7-33f1-47d7-9128-ef8a4b036e4c,27,0
147,0,0,20,5467,20,53300000,0673e196-aa79-419b-abf1-10a1866fe666,254,Acid.Rise,uplay,9798,0673e196-aa79-419b-abf1-10a1866fe666,28,0
151,0,0,20,5464,20,45120000,c7e3400d-a8e7-4995-8968-821b516d8acd,260,bravodog,uplay,9754,c7e3400d-a8e7-4995-8968-821b516d8acd,29,0
149,0,0,20,5453,20,47890000,597d5f94-70b2-4c0a-9efe-be17e722a160,292,MKing.IMT,uplay,9844,597d5f94-70b2-4c0a-9efe-be17e722a160,30,0
161,15,17,20,5426,20,41720000,e1a910b5-2938-4a74-97b4-4c50cd95b980,187,Reep-,uplay,9958,e1a910b5-2938-4a74-97b4-4c50cd95b980,31,0
118,0,0,20,5411,20,49760000,bd032177-9241-47fc-841b-3867cccf571f,254,easilyy.Rogue,uplay,9382,bd032177-9241-47fc-841b-3867cccf571f,32,0
170,0,0,20,5411,20,41420000,795298fc-4a2e-4b06-b633-f84c5a9e5b34,212,Nuggs.,uplay,9835,795298fc-4a2e-4b06-b633-f84c5a9e5b34,33,0
132,0,17,20,5406,20,51400000,9350323c-00fc-42d8-b017-33ea6c0be8ed,312,Krazy.Rise,uplay,9492,9350323c-00fc-42d8-b017-33ea6c0be8ed,34,1
142,0,0,20,5401,20,53920000,9431ddc3-cb70-4875-9c95-307cf4e5f62f,329,pzdd.BD,uplay,9494,9431ddc3-cb70-4875-9c95-307cf4e5f62f,35,0
171,0,1,20,5395,20,63430000,2f2ad08b-3b5d-4051-919e-2be6dd7a90f0,152,IamBadly,uplay,9941,2f2ad08b-3b5d-4051-919e-2be6dd7a90f0,36,0
135,0,20,20,5379,20,48470000,d7263f99-b407-4c09-9a93-3a6b1c5020b2,295,Motive.S7,uplay,9606,d7263f99-b407-4c09-9a93-3a6b1c5020b2,37,0
151,20,0,20,5365,20,50000000,2ada7d42-7cf2-49a7-ade8-a4286caa6d6c,331,SixShooter.GG,uplay,9812,2ada7d42-7cf2-49a7-ade8-a4286caa6d6c,38,0
139,0,0,20,5361,20,37810000,4dc68a0d-0e1f-43f1-b7cf-7364b7cafea1,132,Akame-47,uplay,9503,4dc68a0d-0e1f-43f1-b7cf-7364b7cafea1,39,0
174,0,20,20,5570,20,45970000,6f1ed826-9e4e-4f23-a007-aa8d45836b21,338,Vito-.,uplay,10170,6f1ed826-9e4e-4f23-a007-aa8d45836b21,40,0
117,17,17,20,5331,20,42270000,c0bf12a5-2f16-4998-886a-6b94c17ada32,316,Choqo1ate,uplay,9523,c0bf12a5-2f16-4998-886a-6b94c17ada32,41,0
171,0,0,20,5324,20,44270000,4b66e62a-6f8c-4f52-8a29-16c1862a192d,146,SamuraiCarai,uplay,10606,4b66e62a-6f8c-4f52-8a29-16c1862a192d,42,0
137,0,18,20,5316,20,46980000,65de0872-17c7-4a57-a6c8-0fdeccb08deb,338,SippinOnOJ.SiN,uplay,9745,65de0872-17c7-4a57-a6c8-0fdeccb08deb,43,0
150,0,0,20,5306,20,45360000,4b3108ba-440c-406b-8940-e3fc559b391b,298,LUKlD.T1,uplay,9635,4b3108ba-440c-406b-8940-e3fc559b391b,44,0
